Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,ApplicantIncomeLog,CoapplicantIncomeLog,LoanAmountLog,Loan_Amount_TermLog,Total_IncomeLog
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,4693.0,7.52456122628536,7.951559331155252,4.736198448394496,5.886104031450156,8.453827315794417
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,7.1693500166706,6.990256500493881,2.833213344056216,4.787491742782046,7.776954403322442
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4950.0,8.507142855562735,-inf,4.8283137373023015,5.886104031450156,8.507142855562735
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,0.8421985815602837,Urban,Y,3596.0,8.18757739559151,-inf,4.605170185988092,5.480638923341991,8.18757739559151
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,3510.0,8.163371316459912,-inf,4.330733340286331,5.886104031450156,8.163371316459912
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,4887.0,8.494333897270154,-inf,4.890349128221754,5.886104031450156,8.494333897270154
LP001041,Male,Yes,0,Graduate,No,2600,3500.0,115.0,342.0,1.0,Urban,Y,6100.0,7.8632667240095735,8.160518247477505,4.74493212836325,5.834810737062605,8.716044050161402
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,7660.0,8.943767262734637,-inf,4.6443908991413725,5.886104031450156,8.943767262734637
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,8.691986481789401,8.63497622707262,5.752572638825633,5.886104031450156,9.357034751126987
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,7.8632667240095735,7.555381944240273,4.7535901911063645,5.886104031450156,8.414274137408396
LP001050,Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,5282.0,8.121183242078828,7.558516743045645,4.718498871295094,5.886104031450156,8.572060092857077
LP001052,Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,0.8421985815602837,Semiurban,N,6642.0,8.220672170297252,7.981049759665957,5.017279836814924,5.886104031450156,8.801168401936692
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,9.165343006045447,-inf,5.25227342804663,5.886104031450156,9.165343006045447
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,7.937017489515454,7.720017940432244,4.804021044733257,5.886104031450156,8.527539483470381
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,8.349011198176003,6.946975992135418,4.700480365792417,5.886104031450156,8.569026340056254
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,1442.0,7.273786317844895,-inf,3.5553480614894135,5.886104031450156,7.273786317844895
LP001087,Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,5833.0,8.229511118964457,7.641564441260972,4.787491742782046,5.886104031450156,8.671286726753637
LP001091,Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,0.8421985815602837,Urban,N,7535.0,8.334711621820917,8.122371243406553,5.303304908059076,5.886104031450156,8.927314111060596
LP001095,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,3167.0,8.06054004653864,-inf,4.30406509320417,5.886104031450156,8.06054004653864
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,4692.0,8.453614209773367,-inf,4.663439094112067,5.886104031450156,8.453614209773367
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,8.160518247477505,7.418780882750794,4.736198448394496,5.886104031450156,8.550047528287184
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,15500.0,9.433483923290392,8.006367567650246,5.768320995793772,5.886104031450156,9.648595302907339
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,146.41216216216216,360.0,1.0,Urban,Y,4342.0,7.729735331385051,7.633853559681768,4.986425672954842,5.886104031450156,8.376090350438238
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,342.0,0.0,Urban,N,3158.0,7.510977752014095,7.1929342212158,4.605170185988092,5.834810737062605,8.057694194815587
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,8.207129168071326,7.285506548522785,4.969813299576001,5.886104031450156,8.542080906924017
LP001114,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,11376.0,8.334711621820917,8.883224230278994,5.214935757608986,5.886104031450156,9.339261152043022
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,8.228977643358313,7.419380582918692,4.700480365792417,5.886104031450156,8.59711281459211
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,3600.0,8.1886891244442,-inf,4.382026634673881,5.886104031450156,8.1886891244442
LP001120,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,7.495541943884256,7.10085190894405,3.8501476017100584,5.886104031450156,8.0106915391303
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,0.8421985815602837,Urban,Y,2400.0,7.783224016336037,-inf,4.31748811353631,5.886104031450156,7.783224016336037
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,8.279189777195004,7.756195343948118,4.897839799950911,5.886104031450156,8.744647438317532
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,342.0,1.0,Urban,Y,4695.0,8.454253391642363,-inf,4.564348191467836,5.834810737062605,8.454253391642363
LP001137,Female,No,0,Graduate,No,3410,0.0,88.0,342.0,1.0,Urban,Y,3410.0,8.134467570277563,-inf,4.477336814478207,5.834810737062605,8.134467570277563
LP001138,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,5649.0,8.639233817325263,-inf,3.784189633918261,5.886104031450156,8.639233817325263
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,5821.0,8.669227347271736,-inf,4.969813299576001,5.886104031450156,8.669227347271736
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,6085.0,7.8804263442924,8.143226750367445,4.787491742782046,5.886104031450156,8.713582005421628
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,6275.0,8.294049640102028,7.729735331385051,4.969813299576001,5.886104031450156,8.744328763999984
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,3572.0,7.564238475170491,7.404887575616125,4.605170185988092,5.886104031450156,8.18088094199639
LP001157,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,3086.0,8.034631032923107,-inf,4.787491742782046,5.886104031450156,8.034631032923107
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,4230.0,8.349957272040324,-inf,4.718498871295094,5.886104031450156,8.349957272040324
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,4616.0,8.437283808187935,-inf,4.897839799950911,5.886104031450156,8.437283808187935
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,11500.0,9.350102314351341,-inf,5.655991810819852,5.886104031450156,9.350102314351341
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,3875.0,7.903965634032166,7.062191632286556,4.574710978503383,5.886104031450156,8.262300941787448
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,3723.0,7.664815785285735,7.372118028337787,4.564348191467836,5.886104031450156,8.222285073872717
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N,5566.0,8.121480374750751,7.696212639346407,4.90527477843843,5.886104031450156,8.624431942085836
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,10330.0,8.997147151515142,7.718685495198466,5.19295685089021,5.886104031450156,9.242807562113684
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y,6216.0,8.118802996980035,7.958227192322312,4.969813299576001,5.886104031450156,8.734881892047483
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,6296.0,7.824046010856292,8.241703159729818,4.787491742782046,5.886104031450156,8.74766979009724
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y,3029.0,8.015987811027237,-inf,4.59511985013459,5.886104031450156,8.015987811027237
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N,6058.0,7.866722285136729,8.145839612936841,5.10594547390058,5.19295685089021,8.709134991587183
LP001213,Male,Yes,1,Graduate,No,4945,0.0,146.41216216216216,360.0,0.0,Rural,N,4945.0,8.506132244056813,-inf,4.986425672954842,5.886104031450156,8.506132244056813
LP001222,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,4166.0,8.334711621820917,-inf,4.7535901911063645,5.886104031450156,8.334711621820917
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,10321.0,8.65277248565806,8.432724034789787,5.552959584921617,5.886104031450156,9.241935933565934
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,5454.0,8.070906088787819,7.720461694599722,4.836281906951478,5.19295685089021,8.604104563405533
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y,10750.0,9.28266103355581,-inf,5.7430031878094825,5.886104031450156,9.28266103355581
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y,7100.0,8.867850063029406,-inf,4.8283137373023015,4.0943445622221,8.867850063029406
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,4300.0,8.366370301681654,-inf,4.912654885736052,5.886104031450156,8.366370301681654
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y,6274.0,8.073402968986406,8.028129059431759,5.147494476813453,5.886104031450156,8.744169388750624
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y,3750.0,7.536363938404511,7.536363938404511,4.574710978503383,5.886104031450156,8.229511118964457
LP001248,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,3500.0,8.160518247477505,-inf,4.394449154672439,5.703782474656201,8.160518247477505
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,342.0,0.0,Semiurban,N,4755.0,8.46695197497949,-inf,4.553876891600541,5.834810737062605,8.46695197497949
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y,7040.0,8.569026340056254,7.480992162869525,5.231108616854587,5.886104031450156,8.859363449152088
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N,3750.0,8.229511118964457,-inf,4.727387818712341,6.173786103901937,8.229511118964457
LP001256,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N,8500.0,8.229511118964457,8.465899897028686,5.170483995038151,5.886104031450156,9.047821442478408
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N,4022.0,6.907755278982137,8.013674142832684,4.700480365792417,5.886104031450156,8.299534570332597
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N,7167.0,8.06054004653864,8.294049640102028,5.19295685089021,5.703782474656201,8.877242435993919
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,0.8421985815602837,Semiurban,Y,5499.0,8.11162807830774,7.680637427560936,4.867534450455582,5.886104031450156,8.612321536507814
LP001265,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y,3846.0,8.254788926148725,-inf,4.709530201312334,5.886104031450156,8.254788926148725
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,146.41216216216216,360.0,1.0,Semiurban,Y,2395.0,7.781138509845015,-inf,4.986425672954842,5.886104031450156,7.781138509845015
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N,3259.0,7.228388451573604,7.53955882930103,5.117993812416755,5.886104031450156,8.089175678837561
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,0.8421985815602837,Semiurban,N,8250.0,8.699514748210191,7.718685495198466,5.579729825986222,5.886104031450156,9.017968479328726
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y,3988.0,8.291045131081729,-inf,3.912023005428146,5.480638923341991,8.291045131081729
LP001279,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y,4897.0,7.768956044538332,7.836369760545124,4.912654885736052,5.886104031450156,8.496378051702317
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,0.8421985815602837,Semiurban,Y,5333.0,8.11162807830774,7.600902459542082,4.59511985013459,5.886104031450156,8.581669210600602
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y,4618.0,7.824046010856292,7.658227526161352,4.6443908991413725,5.886104031450156,8.43771698991444
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,8566.0,9.055556158175316,-inf,5.3471075307174685,5.886104031450156,9.055556158175316
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y,9862.0,8.647343875881283,8.334951631422454,5.1647859739235145,5.886104031450156,9.196444266784072
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y,5858.0,7.992268643270745,7.9724660159745655,4.875197323201151,5.886104031450156,8.675563527387679
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y,11904.0,8.740336742730447,8.640118538253535,5.236441962829949,5.19295685089021,9.384629757072872
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y,5093.0,8.09346227450118,7.506591780070841,4.394449154672439,5.886104031450156,8.535622326884605
LP001322,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y,4133.0,8.326758814511733,-inf,4.804021044733257,5.886104031450156,8.326758814511733
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y,3620.0,8.194229304819817,-inf,3.2188758248682006,4.787491742782046,8.194229304819817
LP001326,Male,No,0,Graduate,No,6782,0.0,146.41216216216216,360.0,0.8421985815602837,Urban,N,6782.0,8.822027322685583,-inf,4.986425672954842,5.886104031450156,8.822027322685583
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y,4786.0,7.81762544305337,7.741533589281828,4.919980925828125,5.886104031450156,8.47345026846832
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y,2974.0,7.589335823170617,6.904750769961838,3.912023005428146,5.886104031450156,7.9976631270201
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y,4188.0,8.339978571990427,-inf,4.74493212836325,5.19295685089021,8.339978571990427
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y,5300.0,7.472500744737558,8.172164452111904,4.875197323201151,5.886104031450156,8.575462099540212
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y,7551.0,8.363575702750637,8.09040229659332,4.890349128221754,5.19295685089021,8.929435283803425
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y,8649.0,8.48528964240323,8.244334047856094,5.017279836814924,5.886104031450156,9.065198986306513
LP001350,Male,Yes,0,Graduate,No,13650,0.0,146.41216216216216,360.0,1.0,Urban,Y,13650.0,9.521494800613105,-inf,4.986425672954842,5.886104031450156,9.521494800613105
LP001356,Male,Yes,0,Graduate,No,4652,3583.0,146.41216216216216,360.0,1.0,Semiurban,Y,8235.0,8.445052513638554,8.183955717304954,4.986425672954842,5.886104031450156,9.016148642611741
LP001357,Male,Yes,0,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y,4570.0,8.246958032568177,6.625392368007956,5.075173815233827,5.886104031450156,8.42726848388825
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y,4082.0,8.023552392404348,6.937314081223682,4.605170185988092,5.886104031450156,8.31434234336979
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y,12543.0,9.342858751676328,7.026426808699636,5.41610040220442,5.886104031450156,9.436918020024674
LP001370,Male,No,0,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,N,7333.0,8.9001399880938,-inf,4.787491742782046,5.886104031450156,8.9001399880938
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N,7400.0,8.242756345714477,8.1886891244442,5.375278407684165,5.886104031450156,8.909235279192261
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y,2825.0,7.635786861395585,6.625392368007956,4.543294782270004,6.173786103901937,7.946263643580541
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y,5316.0,8.578476419833136,-inf,4.912654885736052,5.886104031450156,8.578476419833136
LP001387,Female,Yes,0,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,Y,5262.0,7.982416346827733,7.75491027202143,4.9344739331306915,5.886104031450156,8.568266461600238
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,342.0,0.0,Rural,N,7686.0,8.18088094199639,8.322151070212902,5.0238805208462765,5.834810737062605,8.94715577112479
LP001392,Female,No,1,Graduate,Yes,7451,0.0,146.41216216216216,360.0,1.0,Semiurban,Y,7451.0,8.916103530553727,-inf,4.986425672954842,5.886104031450156,8.916103530553727
LP001398,Male,No,0,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,Y,5050.0,8.527143522269405,-inf,4.770684624465665,5.886104031450156,8.527143522269405
LP001401,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y,14583.0,9.587611745713565,-inf,5.220355825078324,5.19295685089021,9.587611745713565
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y,5450.0,8.06054004653864,7.733245646529795,5.0369526024136295,5.886104031450156,8.60337088765729
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,0.8421985815602837,Urban,Y,3612.0,7.7025561132685825,7.242797922793756,4.442651256490317,5.886104031450156,8.192016914536875
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N,7710.0,8.624791202014256,7.669495251007694,5.1647859739235145,5.886104031450156,8.950273466557375
LP001422,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y,10408.0,9.250330020192342,-inf,5.556828061699537,5.886104031450156,9.250330020192342
LP001426,Male,Yes,0,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y,8334.0,8.64241515616962,7.888709524182015,5.19295685089021,5.886104031450156,9.0280988119824
LP001430,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y,4166.0,8.334711621820917,-inf,3.784189633918261,5.886104031450156,8.334711621820917
LP001431,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y,11117.0,7.667158255319148,9.102755161296246,4.919980925828125,5.886104031450156,9.316230747233615
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y,2957.0,7.9919305198524775,-inf,4.394449154672439,5.886104031450156,7.9919305198524775
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y,6314.0,8.366370301681654,7.607878073278507,5.267858159063328,5.886104031450156,8.750524669117937
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,0.8421985815602837,Rural,Y,3692.0,8.213923595622743,-inf,4.532599493153256,5.886104031450156,8.213923595622743
LP001448,Male,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y,23803.0,10.077566902136047,-inf,5.91350300563827,5.886104031450156,10.077566902136047
LP001449,Male,No,0,Graduate,No,3865,1640.0,146.41216216216216,360.0,1.0,Rural,Y,5505.0,8.259716961021523,7.402451520818244,4.986425672954842,5.886104031450156,8.61341204915678
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N,14363.0,9.26036786557583,8.25582842728183,5.075173815233827,5.19295685089021,9.572410734431823
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,0.8421985815602837,Rural,N,8649.0,8.712759974960212,7.851271997109883,5.204006687076795,5.886104031450156,9.065198986306513
LP001469,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,0.8421985815602837,Urban,Y,20166.0,9.91175329695316,-inf,6.476972362889683,6.173786103901937,9.91175329695316
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y,3943.0,7.607878073278507,7.564757012905729,4.30406509320417,5.886104031450156,8.279697133877628
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y,2718.0,7.907651594711089,-inf,4.248495242049359,5.886104031450156,7.907651594711089
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y,3459.0,8.148734808937169,-inf,3.2188758248682006,4.787491742782046,8.148734808937169
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y,4895.0,8.49596955496461,-inf,4.624972813284271,5.886104031450156,8.49596955496461
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N,11750.0,8.294049640102028,8.955448122347393,5.66988092298052,5.886104031450156,9.371608519572305
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N,4583.0,8.430109084509125,-inf,4.430816798843313,5.886104031450156,8.430109084509125
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y,6816.0,8.106514516255185,8.160518247477505,4.477336814478207,5.886104031450156,8.827028068509152
LP001492,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N,14999.0,9.61573881119536,-inf,5.488937726156687,5.886104031450156,9.61573881119536
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N,5630.0,8.34283980427146,7.265429723253953,4.859812404361672,5.886104031450156,8.635864721133736
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N,7125.0,8.525558107747866,7.641564441260972,5.220355825078324,5.886104031450156,8.871365005136852
LP001498,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y,5417.0,8.597297435657898,-inf,5.123963979403259,5.886104031450156,8.597297435657898
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y,6950.0,8.846496938558838,-inf,5.1647859739235145,5.19295685089021,8.846496938558838
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y,4732.0,7.900266036767701,7.617759576608505,4.804021044733257,5.886104031450156,8.462103225098277
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y,11757.0,9.372204086867741,-inf,5.231108616854587,5.19295685089021,9.372204086867741
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,6816.0,7.753623546559746,8.408716715080153,4.605170185988092,5.886104031450156,8.827028068509152
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y,14866.0,9.60683200528524,-inf,4.248495242049359,5.886104031450156,9.60683200528524
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y,2963.0,7.338238150065589,7.261927092702751,3.4011973816621555,5.886104031450156,7.993957547573565
